Bratislava I;39187;24952;63.67;24931;24836;39060;24191;61.93;24183;23847;Bratislavsky kraj
Bratislava II;104219;59960;57.53;59933;59639;103335;56075;54.26;56051;55258;Bratislavsky kraj
Bratislava III;59733;36371;60.88;36355;36202;59463;34609;58.2;34599;34093;Bratislavsky kraj
Bratislava IV;87654;52700;60.12;52672;52469;86877;49092;56.5;49085;48325;Bratislavsky kraj
Bratislava V;100898;58381;57.86;58343;58147;100942;54533;54.02;54505;53737;Bratislavsky kraj
Malacky;61170;31588;51.63;31582;31425;61406;27722;45.14;27718;27247;Bratislavsky kraj
Pezinok;54304;33651;61.96;33643;33508;54152;30243;55.84;30232;29770;Bratislavsky kraj
Senec;68813;41533;60.35;41520;41332;69056;37470;54.26;37463;36841;Bratislavsky kraj
Dunajska Streda;101705;34665;34.08;34651;34356;101890;31137;30.55;31125;30749;Trnavsky kraj
Galanta;78715;34512;43.84;34498;34270;78671;29285;37.22;29282;28840;Trnavsky kraj
Piestany;53072;28397;53.5;28384;28240;52949;24575;46.41;24570;24071;Trnavsky kraj
Senica;50209;24936;49.66;24936;24784;50550;21842;43.2;21839;21473;Trnavsky kraj
Skalica;39012;19943;51.12;19928;19817;39187;17072;43.56;17072;16769;Trnavsky kraj
Hlohovec;36908;19054;51.62;19044;18916;36809;15838;43.02;15836;15550;Trnavsky kraj
Trnava;107925;59033;54.69;59009;58698;107784;51122;47.43;51119;50116;Trnavsky kraj
Banovce nad Bebravou;30002;16100;53.66;16096;16019;29996;13426;44.75;13423;13162;Trenèiansky kraj
Myjava;22278;11398;51.16;11398;11323;22379;10375;46.36;10375;10218;Trenèiansky kraj
Nove Mesto nad Vahom;51365;27802;54.12;27799;27610;51362;24127;46.97;24124;23553;Trenèiansky kraj
Povazska Bystrica;51662;27227;52.7;27222;27040;51636;22668;43.89;22664;22189;Trenèiansky kraj
Puchov;36947;19277;52.17;19271;19152;36997;16538;44.7;16533;16164;Trenèiansky kraj
Partizanske;37648;19383;51.48;19377;19270;37590;16009;42.58;16007;15691;Trenèiansky kraj
Prievidza;112222;59629;53.13;59604;59211;111898;50107;44.77;50102;49102;Trenèiansky kraj
Ilava;48987;25986;53.04;25973;25835;48767;22165;45.45;22160;21622;Trenèiansky kraj
Trencin;93833;52720;56.18;52702;52355;94329;46861;49.67;46857;45818;Trenèiansky kraj
Komarno;84974;23665;27.84;23661;23465;84973;20775;24.44;20775;20476;Nitriansky kraj
Levice;92987;41006;44.09;41003;40764;92720;34558;37.27;34556;33956;Nitriansky kraj
Nitra;135864;70015;51.53;70002;69669;135710;59884;44.12;59881;58839;Nitriansky kraj
Zlate Moravce;34536;17955;51.98;17951;17843;34522;15289;44.28;15289;15013;Nitriansky kraj
Nove Zamky;117262;47668;40.65;47659;47395;117209;41169;35.12;41166;40541;Nitriansky kraj
Sala;42856;17624;41.12;17617;17524;42851;15438;36.02;15436;15221;Nitriansky kraj
Topolcany;59823;29988;50.12;29984;29815;59842;25526;42.65;25525;25105;Nitriansky kraj
Cadca;72987;33978;46.55;33973;33756;72943;28232;38.7;28228;27683;Zilinsky kraj
Dolny Kubin;31400;17558;55.91;17550;17452;31272;14257;45.59;14255;13759;Zilinsky kraj
