Pezinok;19823;12520;63.15;12518;12471;19812;11464;57.86;11460;11308;Pezinok;Bratislavsky kraj
Pila - Pezinok;297;179;60.26;179;179;322;190;59;190;189;Pezinok;Bratislavsky kraj
Slovensky Grob;3269;2101;64.27;2101;2093;3271;1907;58.3;1907;1886;Pezinok;Bratislavsky kraj
Svaty Jur;4707;2799;59.46;2796;2779;4721;2603;55.13;2600;2534;Pezinok;Bratislavsky kraj
Senkvice;4112;2541;61.79;2540;2530;4103;2237;54.52;2237;2194;Pezinok;Bratislavsky kraj
Stefanova;308;179;58.11;179;178;306;153;50;153;152;Pezinok;Bratislavsky kraj
Vinicne;2034;1375;67.6;1375;1369;2003;1185;59.16;1185;1168;Pezinok;Bratislavsky kraj
Vinosady;1120;764;68.21;764;762;1086;660;60.77;660;656;Pezinok;Bratislavsky kraj
Vistuk;1147;623;54.31;623;618;1143;562;49.16;561;546;Pezinok;Bratislavsky kraj
Bernolakovo;6048;3769;62.31;3769;3754;6076;3283;54.03;3283;3239;Senec;Bratislavsky kraj
Blatne;1381;824;59.66;824;820;1393;743;53.33;743;733;Senec;Bratislavsky kraj
Boldog;404;245;60.64;245;244;403;240;59.55;240;234;Senec;Bratislavsky kraj
Cataj;967;615;63.59;615;614;979;546;55.77;546;536;Senec;Bratislavsky kraj
Dunajska Luzna;5085;3238;63.67;3237;3227;5092;2856;56.08;2853;2809;Senec;Bratislavsky kraj
Hamuliakovo;1858;1063;57.21;1062;1062;1883;1009;53.58;1009;997;Senec;Bratislavsky kraj
Hruba Borsa;808;533;65.96;533;531;839;506;60.3;505;493;Senec;Bratislavsky kraj
Hruby Sur;753;438;58.16;438;436;761;381;50.06;381;376;Senec;Bratislavsky kraj
Hurbanova Ves;317;200;63.09;200;200;324;199;61.41;199;192;Senec;Bratislavsky kraj
Chorvatsky Grob;4552;3029;66.54;3029;3023;4540;2868;63.17;2868;2856;Senec;Bratislavsky kraj
Igram;480;267;55.62;267;265;480;222;46.25;222;214;Senec;Bratislavsky kraj
Ivanka pri Dunaji;5308;3416;64.35;3407;3391;5303;3040;57.32;3040;2956;Senec;Bratislavsky kraj
Kalinkovo;1126;697;61.9;697;691;1118;644;57.6;644;630;Senec;Bratislavsky kraj
Kaplna;703;399;56.75;399;393;709;365;51.48;365;359;Senec;Bratislavsky kraj
Kostolna pri Dunaji;546;337;61.72;337;334;557;300;53.85;300;298;Senec;Bratislavsky kraj
Kralova pri Senci;1612;1002;62.15;1002;993;1618;911;56.3;911;888;Senec;Bratislavsky kraj
Malinovo;2736;1751;63.99;1751;1741;2735;1605;58.68;1604;1579;Senec;Bratislavsky kraj
Miloslavov;2336;1634;69.94;1633;1624;2333;1527;65.45;1527;1512;Senec;Bratislavsky kraj
Most pri Bratislave;2644;1648;62.32;1648;1642;2639;1413;53.54;1413;1394;Senec;Bratislavsky kraj
Nova Dedinka;2150;1295;60.23;1295;1289;2172;1174;54.05;1174;1145;Senec;Bratislavsky kraj
Novy Svet;82;56;68.29;56;56;85;44;51.76;44;43;Senec;Bratislavsky kraj
Reca;1255;658;52.43;658;648;1274;564;44.27;564;550;Senec;Bratislavsky kraj
Rovinka;3268;2054;62.85;2054;2049;3285;1833;55.79;1833;1809;Senec;Bratislavsky kraj
Senec;15285;8200;53.64;8199;8156;15289;7366;48.17;7366;7223;Senec;Bratislavsky kraj
Tomasov;2124;1163;54.75;1163;1158;2135;1117;52.31;1117;1106;Senec;Bratislavsky kraj
Turen;920;521;56.63;521;518;923;470;50.92;470;462;Senec;Bratislavsky kraj
Velky Biel;2164;1190;54.99;1190;1186;2213;1093;49.38;1091;1080;Senec;Bratislavsky kraj
Vlky;372;212;56.98;212;209;370;171;46.21;171;168;Senec;Bratislavsky kraj
Zalesie - Senec;1529;1079;70.56;1079;1078;1528;980;64.13;980;960;Senec;Bratislavsky kraj
Bac;472;248;52.54;248;238;475;221;46.52;221;219;Dunajska Streda;Trnavsky kraj
Baka;973;295;30.31;293;290;981;297;30.27;297;294;Dunajska Streda;Trnavsky kraj
Balon;619;156;25.2;156;154;620;155;25;155;152;Dunajska Streda;Trnavsky kraj
Bellova Ves;256;135;52.73;135;134;252;116;46.03;116;114;Dunajska Streda;Trnavsky kraj
Blahova;308;167;54.22;167;166;311;124;39.87;124;121;Dunajska Streda;Trnavsky kraj
Blatna na Ostrove;766;322;42.03;322;320;769;276;35.89;276;274;Dunajska Streda;Trnavsky kraj
Bodiky;286;135;47.2;135;135;311;177;56.91;177;177;Dunajska Streda;Trnavsky kraj
Bohelov;296;102;34.45;102;101;294;84;28.57;84;83;Dunajska Streda;Trnavsky kraj
Cakany;504;269;53.37;269;267;505;235;46.53;235;234;Dunajska Streda;Trnavsky kraj
Cenkovce;902;367;40.68;367;367;808;345;42.69;345;345;Dunajska Streda;Trnavsky kraj
